,Edison Price/Book Ratio Historical Data,Edison Price/Book Ratio Historical Data,Edison Price/Book Ratio Historical Data,Edison Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,68.79,,1.56
1,2021-09-30,54.9,$44.07,1.25
2,2021-06-30,55.91,$45.60,1.23
3,2021-03-31,56.67,$45.39,1.25
4,2020-12-31,60.08,$42.09,1.43
5,2020-09-30,48.11,$41.34,1.16
6,2020-06-30,50.18,$43.48,1.15
7,2020-03-31,50.62,$42.76,1.18
8,2019-12-31,68.89,$42.81,1.61
9,2019-09-30,68.32,$42.82,1.6
10,2019-06-30,60.03,$39.63,1.51
11,2019-03-31,55.14,$39.04,1.41
12,2018-12-31,50.06,$38.83,1.29
13,2018-09-30,59.05,$43.86,1.35
14,2018-06-30,54.7,$42.88,1.28
15,2018-03-31,54.52,$42.63,1.28
16,2017-12-31,53.65,$42.56,1.26
17,2017-09-30,64.85,$44.84,1.45
18,2017-06-30,65.25,$45.43,1.44
19,2017-03-31,65.98,$43.71,1.51
20,2016-12-31,59.26,$43.54,1.36
21,2016-09-30,59.02,$42.99,1.37
22,2016-06-30,63.04,$42.20,1.49
23,2016-03-31,57.98,$41.84,1.39
24,2015-12-31,47.44,$41.09,1.15
25,2015-09-30,50.13,$41.80,1.2
26,2015-06-30,43.88,$40.97,1.07
27,2015-03-31,48.96,$40.20,1.22
28,2014-12-31,50.98,$39.85,1.28
29,2014-09-30,43.27,$39.16,1.1
30,2014-06-30,44.68,$38.07,1.17
31,2014-03-31,43.26,$36.84,1.17
32,2013-12-31,35.15,$35.88,0.98
33,2013-09-30,34.7,$35.12,0.99
34,2013-06-30,36.02,$34.09,1.06
35,2013-03-31,37.36,$34.71,1.08
36,2012-12-31,33.33,$34.35,0.97
37,2012-09-30,33.45,$36.89,0.91
38,2012-06-30,33.58,$36.66,0.92
39,2012-03-31,30.68,$35.63,0.86
40,2011-12-31,29.66,$34.03,0.87
41,2011-09-30,27.18,$36.97,0.74
42,2011-06-30,27.31,$36.09,0.76
43,2011-03-31,25.57,$35.94,0.71
44,2010-12-31,26.74,$35.28,0.76
45,2010-09-30,23.63,$35.44,0.67
46,2010-06-30,21.6,$34.05,0.63
47,2010-03-31,23.05,$33.71,0.68
48,2009-12-31,23.24,$33.78,0.69
49,2009-09-30,22.24,$33.78,0.66
50,2009-06-30,20.65,$33.06,0.62
51,2009-03-31,18.73,$33.61,0.56
