,Spire Price/Book Ratio Historical Data,Spire Price/Book Ratio Historical Data,Spire Price/Book Ratio Historical Data,Spire Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,69.2,,1.34
1,2021-12-31,64.57,$51.64,1.25
2,2021-09-30,59.92,$51.42,1.17
3,2021-06-30,70.08,$52.17,1.34
4,2021-03-31,71.03,$52.83,1.34
5,2020-12-31,61.02,$50.03,1.22
6,2020-09-30,50.19,$48.88,1.03
7,2020-06-30,61.28,$49.68,1.23
8,2020-03-31,68.87,$52.06,1.32
9,2019-12-31,76.42,$50.61,1.51
10,2019-09-30,79.4,$49.86,1.59
11,2019-06-30,75.85,$51.43,1.47
12,2019-03-31,73.85,$47.46,1.56
13,2018-12-31,65.99,$45.06,1.46
14,2018-09-30,65.03,$44.51,1.46
15,2018-06-30,62.0,$45.52,1.36
16,2018-03-31,62.92,$44.49,1.41
17,2017-12-31,64.86,$43.05,1.51
18,2017-09-30,63.98,$41.26,1.55
19,2017-06-30,59.38,$41.99,1.41
20,2017-03-31,57.04,$41.20,1.38
21,2016-12-31,54.1,$39.32,1.38
22,2016-09-30,52.99,$38.73,1.37
23,2016-06-30,58.46,$39.53,1.48
24,2016-03-31,55.5,$38.74,1.43
25,2015-12-31,48.31,$36.87,1.31
26,2015-09-30,43.96,$36.31,1.21
27,2015-06-30,41.59,$37.14,1.12
28,2015-03-31,40.56,$37.13,1.09
29,2014-12-31,41.74,$35.42,1.18
30,2014-09-30,36.09,$34.93,1.03
31,2014-06-30,37.42,$35.50,1.05
32,2014-03-31,36.0,$33.76,1.07
33,2013-12-31,34.44,$32.56,1.06
34,2013-09-30,33.7,$32.00,1.05
35,2013-06-30,33.86,$33.08,1.02
36,2013-03-31,31.38,$28.26,1.11
37,2012-12-31,28.08,$27.51,1.02
38,2012-09-30,30.95,$26.69,1.16
39,2012-06-30,28.37,$27.16,1.04
40,2012-03-31,27.51,$27.35,1.01
41,2011-12-31,28.24,$26.23,1.08
42,2011-09-30,26.75,$25.56,1.05
43,2011-06-30,25.85,$25.85,1.0
44,2011-03-31,25.75,$25.41,1.01
45,2010-12-31,24.43,$24.52,1.0
46,2010-09-30,22.76,$24.02,0.95
47,2010-06-30,21.65,$24.53,0.88
48,2010-03-31,21.77,$24.85,0.88
49,2009-12-31,21.54,$23.89,0.9
50,2009-09-30,20.28,$23.32,0.87
51,2009-06-30,20.65,$23.96,0.86
52,2009-03-31,24.02,$24.11,1.0
