,Valero Energy Price/Book Ratio Historical Data,Valero Energy Price/Book Ratio Historical Data,Valero Energy Price/Book Ratio Historical Data,Valero Energy Price/Book Ratio Historical Data
,Date,Stock Price,Book Value per Share,Price to Book Ratio
0,2022-03-25,97.25,,2.14
1,2021-09-30,68.86,$45.47,1.51
2,2021-06-30,75.04,$45.75,1.64
3,2021-03-31,68.0,$45.81,1.48
4,2020-12-31,52.93,$48.09,1.1
5,2020-09-30,39.81,$49.09,0.81
6,2020-06-30,53.09,$50.60,1.05
7,2020-03-31,40.27,$48.28,0.83
8,2019-12-31,82.19,$55.06,1.49
9,2019-09-30,74.12,$52.55,1.41
10,2019-06-30,73.57,$52.67,1.4
11,2019-03-31,72.12,$52.20,1.38
12,2018-12-31,63.05,$54.43,1.16
13,2018-09-30,94.72,$54.07,1.75
14,2018-06-30,91.65,$53.23,1.72
15,2018-03-31,76.19,$53.20,1.43
16,2017-12-31,74.81,$52.78,1.42
17,2017-09-30,62.08,$48.46,1.28
18,2017-06-30,53.89,$46.98,1.15
19,2017-03-31,52.39,$46.18,1.13
20,2016-12-31,53.44,$46.19,1.16
21,2016-09-30,41.07,$46.64,0.88
22,2016-06-30,39.07,$46.30,0.84
23,2016-03-31,48.6,$45.75,1.06
24,2015-12-31,53.02,$45.14,1.17
25,2015-09-30,44.75,$45.27,0.99
26,2015-06-30,46.33,$44.04,1.05
27,2015-03-31,46.77,$41.82,1.12
28,2014-12-31,36.12,$41.31,0.87
29,2014-09-30,33.58,$40.26,0.83
30,2014-06-30,36.17,$39.10,0.93
31,2014-03-31,38.16,$38.26,1.0
32,2013-12-31,36.03,$37.24,0.97
33,2013-09-30,24.29,$33.95,0.72
34,2013-06-30,24.58,$33.25,0.74
35,2013-03-31,29.35,$33.61,0.87
36,2012-12-31,21.92,$32.78,0.67
37,2012-09-30,20.23,$31.41,0.64
38,2012-06-30,15.33,$30.15,0.51
39,2012-03-31,16.25,$28.92,0.56
40,2011-12-31,13.19,$29.53,0.45
41,2011-09-30,11.07,$29.84,0.37
42,2011-06-30,15.89,$28.02,0.57
43,2011-03-31,18.49,$26.71,0.69
44,2010-12-31,14.31,$26.43,0.54
45,2010-09-30,10.81,$27.19,0.4
46,2010-06-30,11.07,$26.58,0.42
47,2010-03-31,12.1,$25.95,0.47
48,2009-12-31,10.26,$26.08,0.39
49,2009-09-30,11.77,$28.22,0.42
50,2009-06-30,10.17,$29.16,0.35
51,2009-03-31,10.7,$30.60,0.35
